Start, End
223.224.0.0, 223.239.255.255
157.32.0.0, 157.51.255.255
47.29.0.0, 47.31.255.255
49.32.0.0, 49.47.255.255
27.248.0.0, 27.251.255.255
49.248.0.0, 49.249.255.255
59.88.0.0, 59.99.255.255
